text,category,class,page_id,data_source,time_point
東京高専の皆さんへ前は、おもしろく、わかりやすく教えてくれてありがとうございました。再結晶ははじめは液体なのに時間がたつにつれてしも柱みたいにかたまっていったのがおもしろかったです。観察してシャーレをスケッチしたりして結晶がどうなっているのか分かりやすかったですより,comment,3.0,1,comments,after
東京高専へ今日は理科の授業をしてくれてありがとうございました。とくに、火の色が変わる実験は、とてもおもしろかったです。おみそしるがなぜしょっぱいかまで教えてくださり、ありがとうございました。より,comment,3.0,1,comments,after
東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは、炎の色が変わったときです。色が変わったときに少し理科に興味がわきました。より,comment,3.0,2,comments,after
東京高専のみなさんへ今日は理科の実験を教えてくれてありがとうございました。どれもすごかったですがとくに印象に残ったのは、再結晶です。どんどんかたまっていく所がきれいで印象に残りました。本当にありがとうございました。,comment,3.0,2,comments,after
東京高専のみなさんへ今日は、ありがとうございました。印象に残ったのは、炎色反応です。スプレーをふきかけて、炎の色が変化したところが印象に残りました。二番目は、再結晶です。再結晶は、出てきた線が雪の結晶みたいできれいでした。より,comment,3.0,3,comments,after
東京高専のみなさんへ今日は、ありがとうございました。一番印象に残ったのは理科の実験で炎の色が変わったことです。より,comment,3.0,3,comments,after
東京高専のみなさんへ今日は、おもしろい授業をしくれてありがとうございました。とくにおもしろかったのが炎色反応がおもしろかったです。なぜならぼくはハリーポッターが好きなのじ緑色のときに闇のまじゅつみたいですごくたのしかったです。みなさんのおかげで理科が好きになりました。また炎色反応の緑が見たいです。,comment,3.0,4,comments,after
東京高専のみなさんへ今日はおもしろい実験をみせてくれてありがとうございました。他のことをたくさん、しりたくなりました。,comment,3.0,4,comments,after
東京高専のみなさんへ今日はありがとうございました。一番すごかったのが炎の実験で、色々な色に変わっていたのでそれか本当にすごかったです。最後にやった結晶もきれいで、すごかったです。本当にありがとうございました。より,comment,3.0,5,comments,after
東京高専のみなさんへ。今日は、ありがとうございました。一番印象に残ったのは、再結晶の実験です。理由は初めて見た結晶なのでびっくり、おもしろいと思ったからです。楽しかったし、初めてたいけんできてよかったです。より,comment,3.0,5,comments,after
東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは結晶を観察をしたことで完成しているものだけでなく完成するまでの過程が見れたことが分かりやすかったです。とても分かりやすく、楽しい授業でした。5-より,comment,3.0,6,comments,after
東京高専のみなさんへ今日はありがとうございました。炎色反応で緑になるのが魔法みたいで面白かったです。結晶のスケッチはむずかしかったけど楽しかったです。より,comment,3.0,6,comments,after
東京高専のみなさんへ今日は、ありがとうございました。わたしが一番印象に残ったことは、銅やナトリウムなどの水を火にふきかけて、色が変化するところが一番印象に残りました。わたしは、実験をすることも見ることも好きなのでとても楽しかったです。東京高専でも、がんばってください。より,comment,3.0,7,comments,after
東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは、火の色が変わったことです。火の色が変わることあるんだな~って思いました。火の色が変わってきれいでした。より,comment,3.0,7,comments,after
東京高専のみなさんへ......今日はありがとうございました。一番印象に残ったのは、炎色反応です。火に水よう液をふきかけるだけで、何をとかしたかが分かるということが分かりました。炎色反応などのことを教えてくわしてありがとうございました。より,comment,3.0,8,comments,after
東京高専のみなさんへ今日は、水よう液について授業をしてくれてありがとうございました。授業の中の、さく酸ナトリウムをとかす実験で、氷のようなのはさく酸ナトリウムの形が変わったものだと一番印象に残りました。勉強になりました。より,comment,3.0,8,comments,after
東京高専のみなさんへ45分間ありがとうございます。炎色反応は少し知っていましたが、見たことがなかったので楽しかったです。特に銅が緑色になったのがおどろきました。次あうことがあればまたなにか見せてほしいです。いより,comment,3.0,9,comments,after
東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは、炎色反応で、炎の色が、赤色や緑色に変わったことです。水にとけた金属を燃やしたとき、色が変わってとてもびっくりしました。私はこの実験を通して、科学に興味をもちました。,comment,3.0,9,comments,after
東京高専のみなさんへ色々な実験ありがとうございました。とてもおもしろくてたのしかったです。,comment,3.0,10,comments,after
東京高専のみなさん今日はありがとうございます。一番印象に残ったのは再結晶のいっきにひょうめんがほっきょくみたいになったことが印象てきでした。,comment,3.0,10,comments,after
東京高専のみなさんへ今日は、ありがとうございました。とても楽しかったです。とくに印象に残ったのは、バリウム、カルシウム、ナトリウムなど火にふきかけると色が変わるところです。私実験好きなのでもう1回やってみたいです。,comment,3.0,11,comments,after
みその中に,reason_explanation,3.0,1,q2_before,before
みそに塩が入っている,reason_explanation,3.0,2,q2_before,before
みそに塩が入っているから,reason_explanation,3.0,3,q2_before,before
みそが入っているから,reason_explanation,3.0,4,q2_before,before
塩が使われているから,reason_explanation,3.0,5,q2_before,before
食塩が含まれているから,reason_explanation,3.0,6,q2_before,before
塩が溶けているから,reason_explanation,3.0,7,q2_before,before
みその中にしょっぱくなる成分が入っているから,reason_explanation,3.0,8,q2_before,before
みそを使っていて，塩も使っているから,reason_explanation,3.0,9,q2_before,before
みそが入っているから,reason_explanation,3.0,10,q2_before,before
みその中に食塩が入っているから,reason_explanation,3.0,12,q2_before,before
みその中に食塩が入っている,reason_explanation,3.0,13,q2_before,before
塩が入っているから,reason_explanation,3.0,14,q2_before,before
食塩が入っているから,reason_explanation,3.0,15,q2_before,before
塩が入っているから,reason_explanation,3.0,16,q2_before,before
みそが入っているから,reason_explanation,3.0,17,q2_before,before
みそを入れているから,reason_explanation,3.0,19,q2_before,before
みそに塩が入っているから,reason_explanation,3.0,20,q2_before,before
塩を溶かして作っているから,reason_explanation,3.0,21,q2_before,before
塩が入っているから,reason_explanation,3.0,22,q2_before,before
食塩とみそが入っているから,reason_explanation,3.0,23,q2_before,before
みそが入っているから,reason_explanation,3.0,24,q2_before,before
しょうゆなどがとけてしょっぱくなる。,reason_explanation,1.0,1,q2_before,before
みそが入っているから,reason_explanation,1.0,3,q2_before,before
みそが水にとける,reason_explanation,1.0,5,q2_before,before
